,area,perimeter,dimension,epsilon,mechanism,length of kernel,compactness,width of kernel,asymmetry coefficient,length of kernel groove
0,15.45876089996343,14.817166582381443,2,0.5,density-nd-Laplace,,,,,
1,16.2567944597107,15.1665578705489,2,0.5,density-nd-Laplace,,,,,
2,13.219995018163925,13.588082768611384,2,0.5,density-nd-Laplace,,,,,
3,13.49038336427498,13.91814989194926,2,0.5,density-nd-Laplace,,,,,
4,15.990904807905094,16.81049937066397,2,0.5,density-nd-Laplace,,,,,
5,16.462527814373995,14.802780159571464,2,0.5,density-nd-Laplace,,,,,
6,14.177823154869879,14.253478431460794,2,0.5,density-nd-Laplace,,,,,
7,13.537138161853967,14.604137027706388,2,0.5,density-nd-Laplace,,,,,
8,18.094578702012583,15.978332643687137,2,0.5,density-nd-Laplace,,,,,
9,19.823270215876097,13.84576603900339,2,0.5,density-nd-Laplace,,,,,
10,16.266875856304118,15.559567198658042,2,0.5,density-nd-Laplace,,,,,
11,11.884982361045804,13.214319922639328,2,0.5,density-nd-Laplace,,,,,
12,13.208807092071403,13.79215120592211,2,0.5,density-nd-Laplace,,,,,
13,13.808585062295066,14.067923297942604,2,0.5,density-nd-Laplace,,,,,
14,16.85375325340026,15.400461992217132,2,0.5,density-nd-Laplace,,,,,
15,13.02096127851514,15.85512423002795,2,0.5,density-nd-Laplace,,,,,
16,11.856427206918195,13.26086941558665,2,0.5,density-nd-Laplace,,,,,
17,15.965310620753288,15.09669217033242,2,0.5,density-nd-Laplace,,,,,
18,19.344594022970835,16.107064376346585,2,0.5,density-nd-Laplace,,,,,
19,15.307059905491311,15.407681994231153,2,0.5,density-nd-Laplace,,,,,
20,15.198955199064516,13.518165823932266,2,0.5,density-nd-Laplace,,,,,
21,16.24980803755703,15.13533107659286,2,0.5,density-nd-Laplace,,,,,
22,18.897298961440324,16.387762633082563,2,0.5,density-nd-Laplace,,,,,
23,12.042151032470429,13.345303525922072,2,0.5,density-nd-Laplace,,,,,
24,17.063256599946072,15.039635035305688,2,0.5,density-nd-Laplace,,,,,
25,20.433456074333712,15.439326958145921,2,0.5,density-nd-Laplace,,,,,
26,11.764678906093799,13.204228498994118,2,0.5,density-nd-Laplace,,,,,
27,14.1211310984387,14.258548559633496,2,0.5,density-nd-Laplace,,,,,
28,12.738719382410878,13.626727459669615,2,0.5,density-nd-Laplace,,,,,
29,13.589949438359904,13.966738623484407,2,0.5,density-nd-Laplace,,,,,
30,11.218692030285839,13.159099058058828,2,0.5,density-nd-Laplace,,,,,
31,18.771872309433096,16.258362074122694,2,0.5,density-nd-Laplace,,,,,
32,15.612147659613752,14.732903923687616,2,0.5,density-nd-Laplace,,,,,
33,12.831680593536715,13.659484747928825,2,0.5,density-nd-Laplace,,,,,
34,14.468067119609081,13.416967498462993,2,0.5,density-nd-Laplace,,,,,
