,type,epsilon,ari,ami,ch,sc
0,"KMeans(clusters=4, init=random)",0.05,0.006948411872650687,0.005938726244382483,62.713661421631684,0.26626478181941565
1,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.05,0.007999133389269986,0.01886050716612627,53.01880270393756,0.25121636296578076
2,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",0.05,0.003911905414060618,0.010381182357522072,2.38896508673482,-0.040112969791634825
3,"KMeans(clusters=4, init=random)",0.1,-0.004607381503846701,-0.0029898676004749872,58.69164542768468,0.23988832809967087
4,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.1,0.008578612524063976,0.0033357584854947406,51.1413600607717,0.2616597189708109
5,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",0.1,-0.003815501080704228,-0.0037177665600910113,0.6217611830523876,0.11239895746512334
6,"KMeans(clusters=4, init=random)",0.5,0.33753422349637774,0.3391481567911138,82.98773521657488,0.2935870333518463
7,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",0.5,0.13308095871861636,0.24988128248539526,54.82953921467667,0.24355920203480536
8,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",0.5,0.1108391620728711,0.1989972709786878,10.339715706320785,-0.018071300605686336
9,"KMeans(clusters=4, init=random)",1.0,0.6183339262857344,0.6303330860533934,129.64363003300758,0.36399286093708483
10,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",1.0,0.25213041637417544,0.4265479605434369,84.96416877861614,0.2757451003028171
11,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",1.0,0.2529404305843205,0.3919610146564535,31.057717238845857,0.14591542467075289
12,"KMeans(clusters=4, init=random)",2.0,0.9338156828898534,0.9151491212118925,273.31896080305535,0.5211795337138492
13,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",2.0,0.5094460781972355,0.6778929288119978,210.74385969773147,0.3235552612783078
14,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",2.0,0.526223195160721,0.6123910835370079,78.53472178413128,0.3567020342903677
15,"KMeans(clusters=4, init=random)",3.0,0.9357370170418429,0.9305480494769742,475.66243769368003,0.6212359665354833
16,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",3.0,0.6632595554707766,0.7775339342581244,375.97287213458964,0.39939888437612403
17,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",3.0,0.6734318678787552,0.7896826232921123,140.06690571062444,0.47231575851427887
18,"KMeans(clusters=4, init=random)",5.0,0.9734666666666667,0.9640434167747112,629.6634838514667,0.6648420847480969
19,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",5.0,0.6082363218170844,0.7828737778065047,504.95184361190434,0.3677808497584
20,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",5.0,0.7014924406212878,0.8297357168103691,148.33624510801138,0.43536061788068475
21,"KMeans(clusters=4, init=random)",7.0,1.0,1.0,713.961674361208,0.6861073620190885
22,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",7.0,0.6305782418263063,0.8110073242478638,605.3230334443552,0.38906392247214117
23,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",7.0,0.9865080403204212,0.9796633891604193,505.0195612025028,0.6593733541039564
24,"KMeans(clusters=4, init=random)",9.0,1.0,1.0,802.9974084680869,0.7056840541780007
25,"AffinityPropagation(damping=0.5, distance_metric=euclidean)",9.0,0.7517668864744758,0.8460141851842433,626.1502670756365,0.44865995210651455
26,"DBSCAN(samples=6, distance_metric=euclidean, epsilon=0.5)",9.0,0.9933442590053178,0.991045553177935,615.3130365772674,0.638336390134141
