age,fnlwgt,class
39,77516, <=50K
50,83311, <=50K
38,215646, <=50K
53,234721, <=50K
28,338409, <=50K
37,284582, <=50K
49,160187, <=50K
52,209642, >50K
31,45781, >50K
42,159449, >50K
37,280464, >50K
30,141297, >50K
23,122272, <=50K
32,205019, <=50K
40,121772, >50K
34,245487, <=50K
25,176756, <=50K
32,186824, <=50K
38,28887, <=50K
43,292175, >50K
40,193524, >50K
54,302146, <=50K
35,76845, <=50K
43,117037, <=50K
59,109015, <=50K
56,216851, >50K
19,168294, <=50K
54,180211, >50K
39,367260, <=50K
49,193366, <=50K
23,190709, <=50K
20,266015, <=50K
45,386940, <=50K
30,59951, <=50K
22,311512, <=50K
48,242406, <=50K
21,197200, <=50K
19,544091, <=50K
31,84154, >50K
48,265477, <=50K
31,507875, <=50K
53,88506, <=50K
24,172987, <=50K
49,94638, <=50K
25,289980, <=50K
57,337895, >50K
53,144361, <=50K
44,128354, <=50K
41,101603, <=50K
29,271466, <=50K
25,32275, <=50K
18,226956, <=50K
47,51835, >50K
50,251585, >50K
47,109832, <=50K
43,237993, >50K
46,216666, <=50K
35,56352, <=50K
41,147372, <=50K
30,188146, <=50K
30,59496, <=50K
32,293936, <=50K
48,149640, <=50K
42,116632, >50K
29,105598, <=50K
36,155537, <=50K
28,183175, <=50K
53,169846, >50K
49,191681, >50K
25,200681, <=50K
19,101509, <=50K
31,309974, <=50K
29,162298, >50K
23,211678, <=50K
79,124744, <=50K
27,213921, <=50K
40,32214, <=50K
67,212759, <=50K
18,309634, <=50K
31,125927, <=50K
18,446839, <=50K
52,276515, <=50K
46,51618, <=50K
59,159937, <=50K
44,343591, >50K
53,346253, <=50K
49,268234, >50K
33,202051, <=50K
30,54334, <=50K
43,410867, >50K
57,249977, <=50K
37,286730, <=50K
28,212563, <=50K
30,117747, <=50K
34,226296, >50K
29,115585, <=50K
48,191277, >50K
37,202683, >50K
48,171095, <=50K
32,249409, <=50K
76,124191, >50K
44,198282, >50K
47,149116, <=50K
20,188300, <=50K
