epsilon,shokri_mi_adv,run
0.05,0.23076923076923078,0
0.05,0.6923076923076923,1
0.05,-0.07692307692307698,2
0.05,0.38461538461538464,3
0.05,0.15384615384615385,4
0.05,0.7307692307692307,5
0.05,0.38461538461538464,6
0.05,0.46153846153846156,7
0.05,0.23076923076923084,8
0.05,0.19230769230769232,9
0.1,0.46153846153846156,0
0.1,0.30769230769230765,1
0.1,0.6153846153846154,2
0.1,0.6538461538461539,3
0.1,0.23076923076923075,4
0.1,0.5,5
0.1,0.5,6
0.1,0.5769230769230769,7
0.1,0.1923076923076923,8
0.1,0.38461538461538464,9
0.5,0.6538461538461539,0
0.5,-0.038461538461538436,1
0.5,0.7692307692307693,2
0.5,0.5769230769230769,3
0.5,0.5769230769230769,4
0.5,0.34615384615384615,5
0.5,0.4230769230769231,6
0.5,0.15384615384615385,7
0.5,0.7307692307692307,8
0.5,0.15384615384615385,9
1.0,0.07692307692307687,0
1.0,0.3076923076923077,1
1.0,0.46153846153846156,2
1.0,0.23076923076923075,3
1.0,0.15384615384615385,4
1.0,0.5,5
1.0,0.3076923076923077,6
1.0,0.34615384615384615,7
1.0,0.38461538461538464,8
1.0,0.4230769230769231,9
2.0,0.23076923076923073,0
2.0,0.6538461538461539,1
2.0,0.6153846153846153,2
2.0,0.4230769230769231,3
2.0,0.49999999999999994,4
2.0,0.3846153846153846,5
2.0,0.6538461538461539,6
2.0,0.7307692307692307,7
2.0,0.3846153846153846,8
2.0,0.19230769230769232,9
3.0,0.5384615384615385,0
3.0,0.1923076923076923,1
3.0,0.5769230769230769,2
3.0,0.3076923076923077,3
3.0,0.23076923076923078,4
3.0,0.7692307692307693,5
3.0,0.3461538461538462,6
3.0,0.6153846153846154,7
3.0,0.15384615384615383,8
3.0,0.38461538461538464,9
5.0,0.3076923076923077,0
5.0,0.11538461538461531,1
5.0,0.07692307692307687,2
5.0,0.30769230769230765,3
5.0,0.5,4
5.0,0.2692307692307693,5
5.0,0.23076923076923073,6
5.0,0.038461538461538436,7
5.0,0.3846153846153846,8
5.0,0.4230769230769231,9
7.0,0.15384615384615385,0
7.0,0.23076923076923078,1
7.0,0.15384615384615385,2
7.0,0.07692307692307693,3
7.0,0.46153846153846156,4
7.0,0.2692307692307692,5
7.0,0.15384615384615385,6
7.0,-0.07692307692307687,7
7.0,0.2692307692307692,8
7.0,0.038461538461538436,9
9.0,0.3846153846153846,0
9.0,0.30769230769230765,1
9.0,0.1923076923076923,2
9.0,0.0,3
9.0,0.038461538461538436,4
9.0,0.15384615384615385,5
9.0,0.038461538461538436,6
9.0,0.0,7
9.0,0.0,8
9.0,0.4615384615384615,9
