,x1,x2,dimension,epsilon,mechanism,class
0,8.052420041960259,-7.241858340526027,2,0.5,piecewise,
1,-1.1491644832324837,4.339424588506521,2,0.5,piecewise,
2,2.8060566956803625,8.679266187979596,2,0.5,piecewise,
3,-5.893155794238239,-1.2128134325900342,2,0.5,piecewise,
4,-3.8831523240925403,-9.074192167505151,2,0.5,piecewise,
5,-6.421369433584268,-4.43836899251007,2,0.5,piecewise,
6,-3.2530664521800867,1.7121662992203863,2,0.5,piecewise,
7,-1.3281855956435467,-0.5323786843424786,2,0.5,piecewise,
8,0.9720466540781411,5.486037105606902,2,0.5,piecewise,
9,0.4466854042057931,-3.70244662311705,2,0.5,piecewise,
10,8.876322410030811,-4.319261738318848,2,0.5,piecewise,
11,-2.5008219125467157,-0.18423705633424747,2,0.5,piecewise,
12,3.5102716762039567,-7.317596634340875,2,0.5,piecewise,
13,-7.753065989069548,-9.002351105542747,2,0.5,piecewise,
14,-5.148275787477727,0.4078271396472865,2,0.5,piecewise,
15,3.338321489526562,-5.632477804995239,2,0.5,piecewise,
16,1.0480263066390696,8.726219894326857,2,0.5,piecewise,
17,8.733587982442128,7.996718696436022,2,0.5,piecewise,
18,-7.668573293889519,8.297968241272077,2,0.5,piecewise,
19,-4.432061131759839,-8.926217318549362,2,0.5,piecewise,
20,1.4450485923164025,-2.1768434720958507,2,0.5,piecewise,
21,-7.2072472790003745,-0.5205992676388729,2,0.5,piecewise,
22,1.5462446380405594,4.620248951488531,2,0.5,piecewise,
23,-10.005036535943823,4.588555926011017,2,0.5,piecewise,
24,1.4515019563957177,3.5125144235490025,2,0.5,piecewise,
25,-5.85965160808903,-6.3750224151957795,2,0.5,piecewise,
26,-0.07995683249435982,4.240658597599874,2,0.5,piecewise,
27,-6.0261806881908555,6.586781190375507,2,0.5,piecewise,
28,5.749688468035463,0.9730903641940754,2,0.5,piecewise,
29,3.0654560990178426,6.70704790064151,2,0.5,piecewise,
30,6.618187721297024,-0.7238484562620671,2,0.5,piecewise,
31,9.308746984332263,1.9465834106491395,2,0.5,piecewise,
32,8.466265645704041,-0.28790034632531725,2,0.5,piecewise,
33,-5.811588931659652,-4.78596498463665,2,0.5,piecewise,
34,-0.8487158571241733,-0.46799887726376205,2,0.5,piecewise,
35,2.9319878286821086,-0.23901390290784524,2,0.5,piecewise,
36,2.2098728817104187,-3.428541419231006,2,0.5,piecewise,
37,6.722546216125722,-0.7257195115807683,2,0.5,piecewise,
38,0.3292694837789783,-1.255331200327882,2,0.5,piecewise,
39,1.6637546535888295,0.6678839807813534,2,0.5,piecewise,
40,9.64593498718933,4.628983779643997,2,0.5,piecewise,
41,-10.115082017215869,0.06741063397679145,2,0.5,piecewise,
42,-0.5849993835237206,1.967496692544399,2,0.5,piecewise,
43,0.7639333280792666,0.07880907793633825,2,0.5,piecewise,
44,9.377821202032964,5.397740094079911,2,0.5,piecewise,
45,-6.183922965065996,4.603072065765798,2,0.5,piecewise,
