epsilon,distance,algorithm,dataset
0.1,34.13130668556949,nd-laplace-truncated,heart-dataset
0.5,21.55439904522556,nd-laplace-truncated,heart-dataset
0.7,17.76254685635169,nd-laplace-truncated,heart-dataset
1.0,14.776655905066074,nd-laplace-truncated,heart-dataset
1.5,12.757925488901936,nd-laplace-truncated,heart-dataset
2.0,11.73442048322599,nd-laplace-truncated,heart-dataset
2.5,11.443331270546768,nd-laplace-truncated,heart-dataset
3.0,10.979024885869622,nd-laplace-truncated,heart-dataset
3.5,10.5322009944325,nd-laplace-truncated,heart-dataset
5.0,10.60072730698927,nd-laplace-truncated,heart-dataset
7.0,10.023295644773986,nd-laplace-truncated,heart-dataset
9.0,9.921589924845787,nd-laplace-truncated,heart-dataset
