,epsilon,distance,algorithm,dataset,dimension
0,0.5,4.010738488,kd-Laplace,line-dataset,2
1,0.7,2.862156658571429,kd-Laplace,line-dataset,2
2,1.0,2.009141894,kd-Laplace,line-dataset,2
3,1.5,1.2878372,kd-Laplace,line-dataset,2
4,2.0,1.0164088575,kd-Laplace,line-dataset,2
5,2.5,0.8157144892,kd-Laplace,line-dataset,2
6,3.0,0.6563495956666666,kd-Laplace,line-dataset,2
7,3.5,0.5818256262857142,kd-Laplace,line-dataset,2
8,5.0,0.40000362520000005,kd-Laplace,line-dataset,2
9,7.0,0.282527359,kd-Laplace,line-dataset,2
10,9.0,0.2272750401111111,kd-Laplace,line-dataset,2
11,0.5,6.120629200490588,kd-Laplace,line-dataset,3
12,0.7,4.229899072456027,kd-Laplace,line-dataset,3
13,1.0,2.999023046249457,kd-Laplace,line-dataset,3
14,1.5,1.9547576492466836,kd-Laplace,line-dataset,3
15,2.0,1.5289662440085794,kd-Laplace,line-dataset,3
16,2.5,1.1993927795613266,kd-Laplace,line-dataset,3
17,3.0,1.0066438458868991,kd-Laplace,line-dataset,3
18,3.5,0.841497624463157,kd-Laplace,line-dataset,3
19,5.0,0.5945119165231476,kd-Laplace,line-dataset,3
20,7.0,0.43752201326685863,kd-Laplace,line-dataset,3
21,9.0,0.34057174108546484,kd-Laplace,line-dataset,3
