,area,perimeter,dimension,epsilon,mechanism,length of kernel,compactness,width of kernel,asymmetry coefficient,length of kernel groove
0,12.81264546431401,13.966395220159582,2,0.5,nd-Laplace,,,,,
1,16.08984649432986,16.94605938029025,2,0.5,nd-Laplace,,,,,
2,8.513669464807702,17.595151928436774,2,0.5,nd-Laplace,,,,,
3,9.041643120808123,13.06831978598272,2,0.5,nd-Laplace,,,,,
4,16.43562557916582,13.92014728300656,2,0.5,nd-Laplace,,,,,
5,13.012308793854416,13.654141923065815,2,0.5,nd-Laplace,,,,,
6,15.99762891363011,14.78396623247127,2,0.5,nd-Laplace,,,,,
7,12.63158044532593,17.624370681404912,2,0.5,nd-Laplace,,,,,
8,13.0188617475826,11.01500726052371,2,0.5,nd-Laplace,,,,,
9,13.426394740580982,14.343058493990341,2,0.5,nd-Laplace,,,,,
10,15.12511629597787,13.611039947228063,2,0.5,nd-Laplace,,,,,
11,14.208714302706516,18.976688434560245,2,0.5,nd-Laplace,,,,,
12,13.027080245309824,11.261723334525163,2,0.5,nd-Laplace,,,,,
13,11.37539438465149,14.348323271845917,2,0.5,nd-Laplace,,,,,
14,15.244434313078356,8.737913396449683,2,0.5,nd-Laplace,,,,,
15,12.508261019772853,13.497917992896687,2,0.5,nd-Laplace,,,,,
16,14.227016487441318,8.520393364622423,2,0.5,nd-Laplace,,,,,
17,11.713866106931324,8.44656411810692,2,0.5,nd-Laplace,,,,,
18,11.700409032214054,14.334953620609129,2,0.5,nd-Laplace,,,,,
19,7.02421261892761,14.023208120907524,2,0.5,nd-Laplace,,,,,
20,13.506511925124821,14.866607304627685,2,0.5,nd-Laplace,,,,,
21,17.035590951214296,14.384265577363221,2,0.5,nd-Laplace,,,,,
22,20.533669487735445,17.832580578632893,2,0.5,nd-Laplace,,,,,
23,13.035118987524275,15.14415401041256,2,0.5,nd-Laplace,,,,,
24,14.61795461357219,16.30000863725369,2,0.5,nd-Laplace,,,,,
25,14.901278545515936,11.982747903530356,2,0.5,nd-Laplace,,,,,
26,11.624635474655486,16.449424672237903,2,0.5,nd-Laplace,,,,,
27,19.734187134487474,7.242856000797111,2,0.5,nd-Laplace,,,,,
28,12.899823432691928,15.99978310039288,2,0.5,nd-Laplace,,,,,
29,13.951476811304369,12.408390511562853,2,0.5,nd-Laplace,,,,,
30,14.507048463302931,12.907391134890872,2,0.5,nd-Laplace,,,,,
31,16.016187795931184,14.933285609598792,2,0.5,nd-Laplace,,,,,
32,16.976754125334978,9.578345446049042,2,0.5,nd-Laplace,,,,,
33,13.963740855269332,14.860321217809814,2,0.5,nd-Laplace,,,,,
