,epsilon,distance,algorithm,dataset,dimension
0,0.5,16.213316573472166,piecewise,skewed-dataset,2
1,1.0,7.351745601968974,piecewise,skewed-dataset,2
2,1.5,4.603016236229601,piecewise,skewed-dataset,2
3,2.0,3.147959455704784,piecewise,skewed-dataset,2
4,2.5,2.3257926912329,piecewise,skewed-dataset,2
5,3.0,1.7127086377384122,piecewise,skewed-dataset,2
6,3.5,1.3293011372156616,piecewise,skewed-dataset,2
7,5.0,0.5669859268167448,piecewise,skewed-dataset,2
8,7.0,0.21870803514269518,piecewise,skewed-dataset,2
9,9.0,0.07858560846218313,piecewise,skewed-dataset,2
10,0.5,34.79608890536643,piecewise,skewed-dataset,3
11,1.0,16.41508936746487,piecewise,skewed-dataset,3
12,1.5,10.091083800627136,piecewise,skewed-dataset,3
13,2.0,7.001381725501272,piecewise,skewed-dataset,3
14,2.5,5.059997291143685,piecewise,skewed-dataset,3
15,3.0,3.676808638878584,piecewise,skewed-dataset,3
16,3.5,2.971440761788684,piecewise,skewed-dataset,3
17,5.0,1.3219346780916543,piecewise,skewed-dataset,3
18,7.0,0.492689865499451,piecewise,skewed-dataset,3
19,9.0,0.1568067048576965,piecewise,skewed-dataset,3
