,epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimension
0,0.5,0.34400000000000003,0.6869565217391305,[0.    0.632 1.   ],[0.    0.288 1.   ],0,2
1,0.5,0.16800000000000004,0.5897435897435898,[0.    0.552 1.   ],[0.    0.384 1.   ],1,2
2,0.5,0.224,0.7058823529411764,[0.    0.384 1.   ],[0.   0.16 1.  ],2,2
3,0.5,0.312,0.7241379310344828,[0.    0.504 1.   ],[0.    0.192 1.   ],3,2
4,0.5,0.19199999999999995,0.6276595744680851,[0.    0.472 1.   ],[0.   0.28 1.  ],4,2
5,0.5,0.10399999999999998,0.5698924731182795,[0.    0.424 1.   ],[0.   0.32 1.  ],5,2
6,0.5,0.064,0.5408163265306122,[0.    0.424 1.   ],[0.   0.36 1.  ],6,2
7,0.5,0.31200000000000006,0.7052631578947369,[0.    0.536 1.   ],[0.    0.224 1.   ],7,2
8,0.5,0.128,0.5714285714285714,[0.    0.512 1.   ],[0.    0.384 1.   ],8,2
9,0.5,0.08000000000000002,0.5416666666666667,[0.   0.52 1.  ],[0.   0.44 1.  ],9,2
10,0.7,0.04800000000000004,0.5241935483870968,[0.   0.52 1.  ],[0.    0.472 1.   ],0,2
11,0.7,0.08000000000000002,0.543859649122807,[0.    0.496 1.   ],[0.    0.416 1.   ],1,2
12,0.7,0.32000000000000006,0.7173913043478262,[0.    0.528 1.   ],[0.    0.208 1.   ],2,2
13,0.7,0.184,0.6292134831460675,[0.    0.448 1.   ],[0.    0.264 1.   ],3,2
14,0.7,0.14400000000000002,0.5978260869565217,[0.   0.44 1.  ],[0.    0.296 1.   ],4,2
15,0.7,0.248,0.6597938144329897,[0.    0.512 1.   ],[0.    0.264 1.   ],5,2
16,0.7,0.10400000000000001,0.6,[0.    0.312 1.   ],[0.    0.208 1.   ],6,2
17,0.7,0.06399999999999995,0.5512820512820512,[0.    0.344 1.   ],[0.   0.28 1.  ],7,2
18,0.7,0.19999999999999996,0.6,[0.  0.6 1. ],[0.  0.4 1. ],8,2
19,0.7,0.03999999999999998,0.5213675213675214,[0.    0.488 1.   ],[0.    0.448 1.   ],9,2
20,1.0,0.22399999999999998,0.648936170212766,[0.    0.488 1.   ],[0.    0.264 1.   ],0,2
21,1.0,-0.11199999999999999,0.4375,[0.    0.392 1.   ],[0.    0.504 1.   ],1,2
22,1.0,0.04799999999999999,0.5263157894736842,[0.   0.48 1.  ],[0.    0.432 1.   ],2,2
23,1.0,0.04799999999999999,0.5306122448979591,[0.    0.416 1.   ],[0.    0.368 1.   ],3,2
24,1.0,0.16000000000000003,0.5909090909090909,[0.   0.52 1.  ],[0.   0.36 1.  ],4,2
25,1.0,-0.008000000000000007,0.49473684210526314,[0.    0.376 1.   ],[0.    0.384 1.   ],5,2
26,1.0,0.136,0.580952380952381,[0.    0.488 1.   ],[0.    0.352 1.   ],6,2
27,1.0,0.11199999999999999,0.5729166666666666,[0.   0.44 1.  ],[0.    0.328 1.   ],7,2
28,1.0,0.16000000000000003,0.6086956521739131,[0.    0.448 1.   ],[0.    0.288 1.   ],8,2
29,1.0,0.02400000000000002,0.512,[0.    0.512 1.   ],[0.    0.488 1.   ],9,2
