,area,perimeter,dimension,epsilon,mechanism,length of kernel,compactness,width of kernel,asymmetry coefficient,length of kernel groove
0,13.615714285714287,15.867142857142857,2,0.5,grid-nd-Laplace,,,,,
1,10.59,17.25,2,0.5,grid-nd-Laplace,,,,,
2,12.102857142857143,12.41,2,0.5,grid-nd-Laplace,,,,,
3,16.64142857142857,12.41,2,0.5,grid-nd-Laplace,,,,,
4,18.154285714285713,14.484285714285715,2,0.5,grid-nd-Laplace,,,,,
5,10.59,12.41,2,0.5,grid-nd-Laplace,,,,,
6,13.615714285714287,13.101428571428572,2,0.5,grid-nd-Laplace,,,,,
7,10.59,14.484285714285715,2,0.5,grid-nd-Laplace,,,,,
8,19.667142857142856,12.41,2,0.5,grid-nd-Laplace,,,,,
9,19.667142857142856,12.41,2,0.5,grid-nd-Laplace,,,,,
10,18.154285714285713,17.25,2,0.5,grid-nd-Laplace,,,,,
11,16.64142857142857,12.41,2,0.5,grid-nd-Laplace,,,,,
12,16.64142857142857,17.25,2,0.5,grid-nd-Laplace,,,,,
13,15.895190369590459,14.23191090387063,2,0.5,grid-nd-Laplace,,,,,
14,10.59,12.41,2,0.5,grid-nd-Laplace,,,,,
15,13.615714285714287,13.101428571428572,2,0.5,grid-nd-Laplace,,,,,
16,12.102857142857143,15.175714285714285,2,0.5,grid-nd-Laplace,,,,,
17,16.64142857142857,17.25,2,0.5,grid-nd-Laplace,,,,,
18,15.56425766376276,14.229620030874278,2,0.5,grid-nd-Laplace,,,,,
19,12.102857142857143,12.41,2,0.5,grid-nd-Laplace,,,,,
20,21.18,17.25,2,0.5,grid-nd-Laplace,,,,,
21,15.329673643740511,15.031580863596876,2,0.5,grid-nd-Laplace,,,,,
22,16.64142857142857,13.101428571428572,2,0.5,grid-nd-Laplace,,,,,
23,12.102857142857143,16.55857142857143,2,0.5,grid-nd-Laplace,,,,,
24,10.59,15.175714285714285,2,0.5,grid-nd-Laplace,,,,,
25,15.128571428571428,13.101428571428572,2,0.5,grid-nd-Laplace,,,,,
26,15.681645281939828,14.927942060610135,2,0.5,grid-nd-Laplace,,,,,
