,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,-0.04000000000000001,0.4576271186440678,-0.04000000000000001,[0.    0.216 1.   ],[0.    0.256 1.   ],0,2
1,0.5,0.11199999999999999,0.6129032258064516,0.11199999999999999,[0.    0.304 1.   ],[0.    0.192 1.   ],1,2
2,0.5,-0.016000000000000014,0.46875,-0.016000000000000014,[0.   0.12 1.  ],[0.    0.136 1.   ],2,2
3,0.5,-0.12000000000000002,0.3584905660377358,-0.12000000000000002,[0.    0.152 1.   ],[0.    0.272 1.   ],3,2
4,0.5,0.08800000000000002,0.5932203389830508,0.08800000000000002,[0.   0.28 1.  ],[0.    0.192 1.   ],4,2
5,0.5,0.0,0.5,0.0,[0.    0.304 1.   ],[0.    0.304 1.   ],5,2
6,0.5,-0.016000000000000014,0.47368421052631576,-0.016000000000000014,[0.    0.144 1.   ],[0.   0.16 1.  ],6,2
7,0.5,-0.048000000000000015,0.453125,-0.048000000000000015,[0.    0.232 1.   ],[0.   0.28 1.  ],7,2
8,0.5,-0.04000000000000001,0.391304347826087,-0.04000000000000001,[0.    0.072 1.   ],[0.    0.112 1.   ],8,2
9,0.5,0.04,0.6666666666666666,0.04,[0.   0.08 1.  ],[0.   0.04 1.  ],9,2
10,1.0,0.10400000000000004,0.6140350877192983,0.10400000000000004,[0.   0.28 1.  ],[0.    0.176 1.   ],0,2
11,1.0,0.088,0.627906976744186,0.088,[0.    0.216 1.   ],[0.    0.128 1.   ],1,2
12,1.0,0.015999999999999986,0.5294117647058824,0.015999999999999986,[0.    0.144 1.   ],[0.    0.128 1.   ],2,2
13,1.0,-0.05600000000000001,0.3939393939393939,-0.05600000000000001,[0.    0.104 1.   ],[0.   0.16 1.  ],3,2
14,1.0,0.0,0.5,0.0,[0.   0.24 1.  ],[0.   0.24 1.  ],4,2
15,1.0,0.023999999999999994,0.5428571428571428,0.023999999999999994,[0.    0.152 1.   ],[0.    0.128 1.   ],5,2
16,1.0,0.064,0.5833333333333334,0.064,[0.    0.224 1.   ],[0.   0.16 1.  ],6,2
17,1.0,-0.016,0.4583333333333333,-0.016,[0.    0.088 1.   ],[0.    0.104 1.   ],7,2
18,1.0,0.00799999999999998,0.5142857142857142,0.00799999999999998,[0.    0.144 1.   ],[0.    0.136 1.   ],8,2
19,1.0,0.0,0.5,0.0,[0.   0.32 1.  ],[0.   0.32 1.  ],9,2
20,1.5,0.01599999999999996,0.5142857142857142,0.01599999999999996,[0.    0.288 1.   ],[0.    0.272 1.   ],0,2
21,1.5,-0.015999999999999986,0.4827586206896552,-0.015999999999999986,[0.    0.224 1.   ],[0.   0.24 1.  ],1,2
22,1.5,-0.09599999999999997,0.42105263157894735,-0.09599999999999997,[0.    0.256 1.   ],[0.    0.352 1.   ],2,2
23,1.5,0.02400000000000002,0.5238095238095238,0.02400000000000002,[0.    0.264 1.   ],[0.   0.24 1.  ],3,2
24,1.5,-0.06399999999999999,0.35714285714285715,-0.06399999999999999,[0.   0.08 1.  ],[0.    0.144 1.   ],4,2
25,1.5,0.04000000000000001,0.5714285714285714,0.04000000000000001,[0.   0.16 1.  ],[0.   0.12 1.  ],5,2
26,1.5,0.07199999999999998,0.5671641791044776,0.07199999999999998,[0.    0.304 1.   ],[0.    0.232 1.   ],6,2
27,1.5,-0.03999999999999998,0.44680851063829785,-0.03999999999999998,[0.    0.168 1.   ],[0.    0.208 1.   ],7,2
28,1.5,0.008000000000000007,0.5106382978723404,0.008000000000000007,[0.    0.192 1.   ],[0.    0.184 1.   ],8,2
29,1.5,0.032,0.55,0.032,[0.    0.176 1.   ],[0.    0.144 1.   ],9,2
30,2.0,0.04000000000000001,0.5510204081632653,0.04000000000000001,[0.    0.216 1.   ],[0.    0.176 1.   ],0,2
31,2.0,-0.055999999999999966,0.4461538461538462,-0.055999999999999966,[0.    0.232 1.   ],[0.    0.288 1.   ],1,2
32,2.0,0.055999999999999994,0.5945945945945946,0.055999999999999994,[0.    0.176 1.   ],[0.   0.12 1.  ],2,2
33,2.0,0.07200000000000004,0.5737704918032787,0.07200000000000004,[0.   0.28 1.  ],[0.    0.208 1.   ],3,2
34,2.0,0.04799999999999999,0.575,0.04799999999999999,[0.    0.184 1.   ],[0.    0.136 1.   ],4,2
35,2.0,-0.008000000000000007,0.48717948717948717,-0.008000000000000007,[0.    0.152 1.   ],[0.   0.16 1.  ],5,2
36,2.0,0.07200000000000001,0.5555555555555556,0.07200000000000001,[0.   0.36 1.  ],[0.    0.288 1.   ],6,2
37,2.0,0.016000000000000014,0.5102040816326531,0.016000000000000014,[0.  0.4 1. ],[0.    0.384 1.   ],7,2
38,2.0,0.064,0.58,0.064,[0.    0.232 1.   ],[0.    0.168 1.   ],8,2
