area,perimeter,length of kernel
15.447829198552359,15.312536079887655,6.845836796010101
12.62644820153652,14.083896951887793,5.395641586688738
20.140072623392687,12.985792429240421,5.208977980900644
14.680806955924517,14.488694170614751,5.073145457532182
11.812325567452607,11.925033320938375,5.488965412875741
12.051417818400566,14.398948926195633,5.3204188265188535
12.566223933654923,14.417628394404018,5.528116759687342
13.408032794061585,13.683272755841937,5.005430252582497
23.339201584772578,16.575834418892406,6.245648303482628
15.038063408710197,15.859560927097444,6.09730573309162
13.273734784861519,15.387633893912207,6.821547877767957
15.349927922884483,18.79010576421645,5.449593363104936
24.621271097940536,14.442123267213482,5.245619409600269
24.044354972141164,11.963083405543223,5.188073119317034
20.87233674788219,13.64154346996541,5.566726855187531
13.659964206408926,14.499673982530116,5.124346307001056
12.977876876313612,12.771261254564413,5.4913928456240715
14.65373357448955,10.575025574517076,5.572138512601926
12.763305612352056,16.087602068360894,6.370562569080208
9.08582738678264,12.885844626960147,5.049755468499489
14.457392977817952,18.240620978290362,5.419767575213223
11.66141293294201,14.839891870845724,6.156279991958619
14.167092532326608,14.398712825526705,5.5802720458760815
10.417992243116897,18.555431390932146,4.904005786907308
14.467829617108263,15.26961734068819,5.910093237864345
15.004719897566382,16.55471554466548,5.782826932089518
10.371276555645139,13.683906748888536,5.155361103754778
13.155720558214675,12.329904375351283,5.0681382159383475
10.02562085721993,15.467549175237954,6.179425749989344
13.383005619967088,13.454715875788134,7.056282745739285
11.467453308947709,12.716495001446857,5.165276350546185
14.420045056498143,14.610466158754752,6.06037467098566
12.47322055838157,17.747789216761657,5.335328194346247
14.339796668593802,14.60160551856825,5.2288684715338665
13.811171389679432,15.489037601904492,5.849485922771103
15.547768854989819,15.390968285549942,5.756884187844299
20.633719737011702,15.634637008540352,5.176500247794229
18.30920647109124,13.876285707174905,6.085663195259662
15.436816277884875,17.756555786302066,5.540964814635976
14.47341618290999,14.210679760191756,5.137764734206355
13.356227464411155,12.759650698544524,5.506221162639844
11.333912604865347,13.225754382501067,6.150944332244834
23.379127469233104,12.296824244589684,4.853996760670041
18.92286097512979,13.9079377823043,7.227760617819753
13.34608347145206,15.05058885749427,5.831369721101013
13.433830599203473,17.869202847748024,5.9779820264434544
15.788939263928368,14.823464172362511,6.096656397975659
14.107812942306978,13.943463076379045,5.131153246809457
12.51268705774722,14.324469584407757,5.738231584176702
13.75028619588766,15.441339574100732,5.391036935027655
12.531581993902288,15.18379116091181,5.585399458181414
16.977660750638154,11.263014674235164,5.953761299639007
11.17618385186573,15.196894014522297,5.7805494114685425
13.831456853992938,10.94492594034722,5.667146513825536
12.164359595030085,14.638760327976858,5.796859490695538
15.484056144579279,13.99969069174645,4.875138077157621
11.760105963905106,14.602312373020714,5.181338729656656
25.02182904056851,14.254982128340105,5.085340178466036
11.325154341255514,14.793028182088216,5.277169938662183
11.398530772686456,12.966869362942319,4.818482291907567
9.107647158764165,12.171175442503992,4.634017398515239
17.588288523024037,11.313589787771338,4.366448470117595
12.578589680123462,11.248024967374526,4.982497950279318
13.977875041711803,13.77277706457072,4.891411139488313
16.842323193040148,18.72112274099098,4.897150532061577
12.483797296170351,13.066836719550754,5.1806233191354165
20.572924226616564,13.243535171550551,5.865640386613533
13.767872074535271,14.286765918307925,4.44079385315388
12.368834779691309,10.996756877032436,5.5627584295045125
13.63035847269316,14.309494133329881,7.245307788060536
18.706211665421474,10.498838374940027,6.684559334155626
15.870142820375637,15.005809182621162,5.8727279345895225
17.06577936249239,16.743200816702455,6.3480400603602956
19.78171573120582,15.982701005893775,6.119922047279137
