,epsilon,shokri_mi_adv,run
0,0.05,0.008,0
1,0.05,0.016,1
2,0.05,0.012,2
3,0.05,0.008,3
4,0.05,0.008,4
5,0.05,0.02,5
6,0.05,-0.016,6
7,0.05,0.0,7
8,0.05,0.004,8
9,0.05,0.0,9
10,0.05,0.02,10
11,0.05,0.004,11
12,0.05,0.0,12
13,0.05,0.0,13
14,0.05,0.012,14
15,0.05,0.004,15
16,0.05,0.0,16
17,0.05,-0.004,17
18,0.05,0.0,18
19,0.05,-0.039999999999999994,19
20,0.1,0.004,0
21,0.1,0.012000000000000004,1
22,0.1,-0.008,2
23,0.1,0.016,3
24,0.1,0.016,4
25,0.1,0.0,5
26,0.1,0.008,6
27,0.1,0.004,7
28,0.1,0.004,8
29,0.1,0.0,9
30,0.1,0.004,10
31,0.1,-0.008,11
32,0.1,0.036,12
33,0.1,0.0,13
34,0.1,0.032,14
35,0.1,0.012,15
36,0.1,0.024,16
37,0.1,0.036,17
38,0.1,-0.064,18
39,0.1,0.0,19
40,0.5,0.19999999999999998,0
41,0.5,0.048000000000000015,1
42,0.5,0.10799999999999998,2
43,0.5,0.06400000000000002,3
44,0.5,0.176,4
45,0.5,0.08000000000000002,5
46,0.5,0.043999999999999984,6
47,0.5,0.04400000000000001,7
48,0.5,0.11599999999999999,8
49,0.5,0.164,9
50,0.5,0.048,10
51,0.5,0.156,11
52,0.5,0.192,12
53,0.5,0.027999999999999997,13
54,0.5,0.04799999999999999,14
55,0.5,0.192,15
56,0.5,0.116,16
57,0.5,0.020000000000000004,17
58,0.5,0.116,18
59,0.5,0.08000000000000002,19
60,1.0,0.020000000000000018,0
61,1.0,0.236,1
62,1.0,0.10399999999999998,2
63,1.0,0.2,3
64,1.0,0.03999999999999998,4
65,1.0,0.136,5
66,1.0,0.18,6
67,1.0,0.03200000000000003,7
68,1.0,0.14400000000000002,8
69,1.0,0.132,9
70,1.0,0.216,10
71,1.0,0.24000000000000002,11
72,1.0,0.052000000000000046,12
73,1.0,0.15199999999999997,13
74,1.0,0.148,14
75,1.0,0.11199999999999999,15
76,1.0,0.27199999999999996,16
77,1.0,0.176,17
78,1.0,0.03999999999999998,18
79,1.0,0.176,19
80,2.0,0.04800000000000004,0
81,2.0,0.068,1
82,2.0,0.10799999999999998,2
83,2.0,0.188,3
84,2.0,0.19999999999999996,4
85,2.0,0.11599999999999999,5
86,2.0,0.14800000000000008,6
87,2.0,0.21999999999999997,7
88,2.0,0.124,8
89,2.0,0.16400000000000003,9
90,2.0,0.12,10
91,2.0,0.03999999999999998,11
92,2.0,0.03200000000000003,12
93,2.0,0.22000000000000003,13
94,2.0,0.11599999999999999,14
95,2.0,0.07999999999999996,15
96,2.0,0.11599999999999999,16
97,2.0,0.020000000000000018,17
98,2.0,0.12,18
99,2.0,0.23200000000000004,19
100,3.0,0.128,0
101,3.0,0.124,1
102,3.0,0.14799999999999996,2
103,3.0,0.16400000000000003,3
104,3.0,0.12000000000000005,4
105,3.0,0.18,5
106,3.0,0.17200000000000004,6
107,3.0,0.03999999999999998,7
108,3.0,0.08799999999999997,8
109,3.0,0.17999999999999994,9
110,3.0,0.11599999999999994,10
111,3.0,0.08399999999999996,11
112,3.0,0.14800000000000002,12
113,3.0,0.14,13
114,3.0,0.17600000000000005,14
115,3.0,0.172,15
116,3.0,0.18400000000000005,16
117,3.0,0.136,17
118,3.0,0.03600000000000003,18
119,3.0,0.05599999999999994,19
120,5.0,0.172,0
121,5.0,0.17600000000000005,1
122,5.0,0.20000000000000007,2
123,5.0,0.18000000000000005,3
124,5.0,0.176,4
125,5.0,0.15200000000000002,5
126,5.0,0.15600000000000003,6
127,5.0,0.14800000000000002,7
128,5.0,0.20400000000000001,8
129,5.0,0.11200000000000004,9
130,5.0,0.124,10
131,5.0,0.07999999999999996,11
132,5.0,0.10800000000000004,12
133,5.0,0.14399999999999996,13
134,5.0,0.12,14
135,5.0,0.15199999999999997,15
136,5.0,0.136,16
137,5.0,0.08800000000000008,17
138,5.0,0.16400000000000003,18
139,5.0,0.15200000000000008,19
140,7.0,0.124,0
141,7.0,0.14,1
142,7.0,0.03600000000000003,2
143,7.0,0.16400000000000003,3
144,7.0,0.20800000000000002,4
145,7.0,0.19600000000000006,5
146,7.0,0.17600000000000005,6
147,7.0,0.196,7
148,7.0,0.12399999999999994,8
149,7.0,0.17599999999999993,9
150,7.0,0.1479999999999999,10
151,7.0,0.16000000000000003,11
152,7.0,0.09599999999999997,12
153,7.0,0.124,13
154,7.0,0.16400000000000003,14
155,7.0,0.07600000000000007,15
156,7.0,0.176,16
157,7.0,0.1120000000000001,17
158,7.0,0.11599999999999994,18
159,7.0,0.064,19
160,9.0,0.256,0
161,9.0,0.12,1
162,9.0,0.12,2
163,9.0,0.184,3
164,9.0,0.172,4
165,9.0,0.04400000000000004,5
166,9.0,0.188,6
167,9.0,0.18000000000000005,7
168,9.0,0.18799999999999994,8
169,9.0,0.06400000000000006,9
170,9.0,0.10399999999999998,10
171,9.0,0.14400000000000002,11
172,9.0,0.07599999999999996,12
173,9.0,0.16800000000000004,13
174,9.0,0.08799999999999997,14
175,9.0,0.14400000000000002,15
176,9.0,0.15999999999999992,16
177,9.0,0.11199999999999999,17
178,9.0,0.04800000000000004,18
179,9.0,0.052000000000000046,19
