,area,perimeter,compactness,length of kernel,width of kernel,asymmetry coefficient,length of kernel groove
0,21.18,17.25,0.9183,6.675,2.63,2.4741888888888885,5.196
1,21.18,17.25,0.9183,4.899,2.941777777777778,0.7651,4.9703333333333335
2,21.18,12.41,0.8081,5.491,3.2535555555555558,2.4741888888888885,4.744666666666666
3,21.18,17.25,0.9183,6.675,3.4094444444444445,2.4741888888888885,4.744666666666666
4,21.18,14.561111111111112,0.9183,5.6883333333333335,3.5653333333333332,1.6196444444444444,5.196
5,21.18,12.41,0.8081,5.6883333333333335,3.0976666666666666,2.4741888888888885,4.9703333333333335
6,21.18,17.25,0.8081,5.6883333333333335,3.2535555555555558,3.3287333333333327,5.196
7,21.18,12.41,0.9183,6.675,2.63,3.3287333333333327,5.196
8,21.18,12.41,0.9183,6.083,3.4094444444444445,2.4741888888888885,5.872999999999999
9,21.18,12.41,0.9183,4.899,3.4094444444444445,1.6196444444444444,5.421666666666667
10,21.18,12.41,0.8081,5.6883333333333335,3.2535555555555558,4.183277777777778,5.421666666666667
11,21.18,12.41,0.8081,6.280333333333333,3.8771111111111116,1.6196444444444444,4.9703333333333335
12,21.18,12.41,0.9183,4.899,2.7858888888888886,4.183277777777778,4.744666666666666
13,21.18,12.41,0.9183,5.491,3.0976666666666666,3.3287333333333327,4.9703333333333335
14,21.18,12.41,0.8081,5.885666666666666,3.0976666666666666,3.3287333333333327,4.744666666666666
15,21.18,17.25,0.9183,6.675,3.4094444444444445,4.183277777777778,4.744666666666666
16,21.18,12.41,0.8081,6.675,2.63,5.892366666666666,4.744666666666666
17,21.18,17.25,0.9183,5.885666666666666,3.5653333333333332,1.6196444444444444,4.9703333333333335
18,21.18,12.41,0.8081,6.477666666666666,2.63,1.6196444444444444,4.744666666666666
19,21.18,15.09888888888889,0.8081,4.899,2.941777777777778,4.183277777777778,4.9703333333333335
20,21.18,17.25,0.8081,4.899,3.7212222222222224,3.3287333333333327,5.196
21,21.18,12.41,0.9183,4.899,2.941777777777778,2.4741888888888885,5.196
22,21.18,12.41,0.8081,6.675,3.0976666666666666,0.7651,5.196
23,21.18,17.25,0.8081,5.096333333333333,2.941777777777778,1.6196444444444444,4.9703333333333335
24,21.18,12.41,0.9183,4.899,4.033,0.7651,4.744666666666666
25,21.18,12.41,0.8081,6.083,3.2535555555555558,0.7651,5.196
26,21.18,17.25,0.9183,4.899,2.63,3.3287333333333327,4.744666666666666
27,21.18,17.25,0.8081,5.293666666666667,2.941777777777778,2.4741888888888885,4.9703333333333335
28,21.18,17.25,0.9183,6.675,3.4094444444444445,2.4741888888888885,4.9703333333333335
