x1,x2,class
0.04753238146213573,0.147264446921063,1
-0.2465089873805104,0.07606780500796154,1
0.0977415228628189,0.05478141297807934,1
-0.7191316287056884,0.5273387541949254,0
0.09702311152985021,0.13978990855263196,1
-0.15628521208580254,-0.06286025887949026,1
-0.1696600820348111,0.1262627665816616,1
-0.19200965676984008,0.03654158721683345,1
0.4036438631506094,-1.0837585589538206,0
1.0646009740558215,-0.04658777075344988,0
0.29103795555391865,-0.020444712464412977,1
0.8310055567883828,-0.4278955939386697,0
0.209511377332411,-0.12667450760148818,1
0.14981522100528602,0.16867328669554843,1
-0.5289599668553676,0.6270102210454039,0
0.7222988102215684,-0.5820718355613326,0
-0.3008790215992206,-0.02569791759972386,1
0.15525550835766078,-0.21229423525748725,1
-0.9959722356043618,-0.42669270228717093,0
0.6652981110928065,0.7109522913176957,0
-1.0267414942519373,-0.1434300413359238,0
0.09181405479180277,1.0798970100159841,0
-0.18063601298514348,-0.05362750527488194,1
-0.010059665009701561,0.15785935190546965,1
-0.06009034371352338,-0.05588780620711749,1
-0.053025996843787476,0.07246268943652044,1
0.4307341426022461,0.9361599950164092,0
-0.15122111113960438,-0.028223979174446884,1
-0.1316783024461042,-0.07216333472188134,1
-0.10158688265608104,0.17095846942358153,1
0.18174975184561148,0.03812992796536628,1
-0.09430553514019968,0.15087517092792044,1
0.44852592058501706,0.019190992359856746,1
-0.1212450274898904,0.0884160097720201,1
-0.16679866688359135,-0.1459589109891376,1
-0.9964731662049489,-0.049782646012793516,0
-0.0622922262424702,0.15065831817701536,1
0.010180798626525642,0.36677676357278277,1
-0.19458970069047302,0.25419954211557805,1
0.02418439214356069,0.08295108512891824,1
-0.12265146274840161,0.1813904608884529,1
0.6462976541624078,0.8322620576422828,0
-0.00944122228744352,-0.22733890190394912,1
-0.11135060795827026,0.17840557578387095,1
-0.9561179707081034,-0.07993738921031784,0
0.002458531354464888,-0.038751395467087585,1
0.21405865121960518,-0.1420243294261601,1
-0.8304526161475017,0.7372933826689834,0
0.35504962302469356,-0.0019458809181844422,1
0.009623616076471275,0.12620768030876467,1
-0.14039537712391523,-0.9082312339097309,0
-0.04286117544495606,-0.29498686644122274,1
-0.30894662095614595,-0.07771528256624272,1
-0.04952469549774054,0.20420171822867103,1
0.4583528598333513,-0.7449706038503049,0
