,algorithm,clustering_algorithm,dimensions,ari,ami,ch,sc,mechanism,epsilon
0,grid-kd-Laplace,KMeans(clusters=4),2,0.21726968268273622,0.18452490889134568,270.75291362746896,0.48733068565666277,grid-kd-Laplace,0.5
1,grid-kd-Laplace,AgglomerativeClustering(clusters=3),2,0.14978177156084485,0.15397855141828026,165.43268907257635,0.3965174229355016,grid-kd-Laplace,0.5
2,grid-kd-Laplace,OPTICS(min_samples=4),2,-0.03708535652492655,-0.0023284934238054955,27.909649055506044,0.3418933668541356,grid-kd-Laplace,0.5
3,grid-kd-Laplace,KMeans(clusters=4),3,0.09396185344913724,0.1246728004502097,113.89693129137015,0.3779993343635729,grid-kd-Laplace,0.5
4,grid-kd-Laplace,AgglomerativeClustering(clusters=3),3,0.07552296485943813,0.11806460455599019,105.18765853357304,0.37272316542866657,grid-kd-Laplace,0.5
5,grid-kd-Laplace,OPTICS(min_samples=6),3,-0.006695274800577888,0.04040281196648041,39.80096261813783,0.2770826456445993,grid-kd-Laplace,0.5
6,grid-kd-Laplace,KMeans(clusters=4),4,0.15234420239357283,0.2028295360589004,87.14243154086148,0.30418460129892366,grid-kd-Laplace,0.5
7,grid-kd-Laplace,AgglomerativeClustering(clusters=2),4,0.19654587074992727,0.14648481129369087,74.0161775200684,0.24616178600910824,grid-kd-Laplace,0.5
8,grid-kd-Laplace,OPTICS(min_samples=12),4,0.004230231885432775,0.035698426526855856,39.45059639874273,0.09018273846721811,grid-kd-Laplace,0.5
9,grid-kd-Laplace,KMeans(clusters=4),5,0.2564094016206736,0.29431131700910185,76.32300075562836,0.2674810740508145,grid-kd-Laplace,0.5
10,grid-kd-Laplace,AgglomerativeClustering(clusters=2),5,0.3313734516237027,0.2313014739854836,76.377116566948,0.252121182958211,grid-kd-Laplace,0.5
11,grid-kd-Laplace,OPTICS(min_samples=12),5,0.13523871182670805,0.09296769078832587,17.79503022389995,-0.017879369985590775,grid-kd-Laplace,0.5
12,grid-kd-Laplace,KMeans(clusters=4),6,0.19710019527299544,0.2291646829877753,58.36552851887969,0.21694932648083612,grid-kd-Laplace,0.5
13,grid-kd-Laplace,AgglomerativeClustering(clusters=2),6,0.20338181463011873,0.2560954877508911,58.333409046852225,0.19591170477399258,grid-kd-Laplace,0.5
14,grid-kd-Laplace,OPTICS(min_samples=12),6,-0.08765826953502895,0.02034103207241192,16.375497954846985,0.009821753046349992,grid-kd-Laplace,0.5
15,grid-kd-Laplace,KMeans(clusters=4),7,0.4290536557332773,0.4415860733695679,59.29358447371156,0.21480009811553485,grid-kd-Laplace,0.5
16,grid-kd-Laplace,AgglomerativeClustering(clusters=2),7,0.6942762026581731,0.59053572881458,65.75236769438914,0.23360150991329695,grid-kd-Laplace,0.5
17,grid-kd-Laplace,OPTICS(min_samples=12),7,0.13627294909378124,0.10885427186908589,19.197065700858,-0.017548889754136578,grid-kd-Laplace,0.5
18,grid-kd-Laplace,KMeans(clusters=4),2,0.301291258652072,0.287333205510685,274.7218602815814,0.4423634002759972,grid-kd-Laplace,0.7
19,grid-kd-Laplace,AgglomerativeClustering(clusters=3),2,0.2233649660440173,0.25142687588014884,207.61834003272946,0.42610994513003747,grid-kd-Laplace,0.7
20,grid-kd-Laplace,OPTICS(min_samples=4),2,0.04960789305160583,0.04370174789346421,24.801967162175277,0.30347927864214486,grid-kd-Laplace,0.7
21,grid-kd-Laplace,KMeans(clusters=4),3,0.1822440753107619,0.2523096033241239,205.5345241529179,0.4825044204304655,grid-kd-Laplace,0.7
22,grid-kd-Laplace,AgglomerativeClustering(clusters=3),3,0.13630027492301516,0.16835239371244665,141.35600535247116,0.4066200506438825,grid-kd-Laplace,0.7
23,grid-kd-Laplace,OPTICS(min_samples=6),3,0.04542197961533541,0.02964166216539408,12.457333852448283,-0.17748784792298838,grid-kd-Laplace,0.7
24,grid-kd-Laplace,KMeans(clusters=4),4,0.19262468277883427,0.27123027904564967,93.94905171258111,0.3183641405356835,grid-kd-Laplace,0.7
25,grid-kd-Laplace,AgglomerativeClustering(clusters=2),4,0.35594750534386993,0.2602649352726961,82.01854671353648,0.25606186425615024,grid-kd-Laplace,0.7
26,grid-kd-Laplace,OPTICS(min_samples=12),4,0.003645007598856707,0.04121579235475583,50.70956475302171,0.22140111163994197,grid-kd-Laplace,0.7
27,grid-kd-Laplace,KMeans(clusters=4),5,0.19667934891007147,0.2693257796398355,92.69172146060848,0.279542028632161,grid-kd-Laplace,0.7
28,grid-kd-Laplace,AgglomerativeClustering(clusters=2),5,0.40025778552320734,0.2854167554036592,92.46516218085478,0.26598454285645545,grid-kd-Laplace,0.7
29,grid-kd-Laplace,OPTICS(min_samples=12),5,0.11394156075240065,0.10255864953838338,26.58085619354454,-0.022905074058895913,grid-kd-Laplace,0.7
30,grid-kd-Laplace,KMeans(clusters=4),6,0.47745838971562,0.47524471989713657,61.56799914450746,0.20619804714868484,grid-kd-Laplace,0.7
