,epsilon,distance,algorithm,dataset,dimension
0,0.5,23.169054483447074,piecewise,seeds-dataset,2
1,1.0,10.216857468485445,piecewise,seeds-dataset,2
2,1.5,6.172656802558949,piecewise,seeds-dataset,2
3,2.0,4.347829864007857,piecewise,seeds-dataset,2
4,2.5,3.0254716860797304,piecewise,seeds-dataset,2
5,3.0,2.1693246220800217,piecewise,seeds-dataset,2
6,3.5,1.7788138287295099,piecewise,seeds-dataset,2
7,5.0,0.9085597151526492,piecewise,seeds-dataset,2
8,7.0,0.23394047978850016,piecewise,seeds-dataset,2
9,9.0,0.10703416321326296,piecewise,seeds-dataset,2
10,0.5,22.48558070093266,piecewise,seeds-dataset,3
11,1.0,10.904581744567029,piecewise,seeds-dataset,3
12,1.5,6.801602940985958,piecewise,seeds-dataset,3
13,2.0,4.679679192275627,piecewise,seeds-dataset,3
14,2.5,3.0263295802033108,piecewise,seeds-dataset,3
15,3.0,2.3052291749215192,piecewise,seeds-dataset,3
16,3.5,1.9496962456221776,piecewise,seeds-dataset,3
17,5.0,0.6814017190294065,piecewise,seeds-dataset,3
18,7.0,0.2695508721670783,piecewise,seeds-dataset,3
19,9.0,0.11358490412353946,piecewise,seeds-dataset,3
20,0.5,1930.659854211397,piecewise,seeds-dataset,4
21,1.0,853.1169481103082,piecewise,seeds-dataset,4
22,1.5,522.8931421363576,piecewise,seeds-dataset,4
23,2.0,370.3902491441929,piecewise,seeds-dataset,4
24,2.5,268.5858104772002,piecewise,seeds-dataset,4
25,3.0,211.1708059333467,piecewise,seeds-dataset,4
26,3.5,165.84495441546545,piecewise,seeds-dataset,4
27,5.0,72.84447508005576,piecewise,seeds-dataset,4
28,7.0,34.985307133436905,piecewise,seeds-dataset,4
29,9.0,7.896633806564047,piecewise,seeds-dataset,4
30,0.5,1803.5282821313356,piecewise,seeds-dataset,5
31,1.0,823.1013937667352,piecewise,seeds-dataset,5
32,1.5,562.3299529685023,piecewise,seeds-dataset,5
33,2.0,386.8302346419352,piecewise,seeds-dataset,5
34,2.5,260.68317833989795,piecewise,seeds-dataset,5
35,3.0,219.47150819084297,piecewise,seeds-dataset,5
36,3.5,171.8026587974998,piecewise,seeds-dataset,5
37,5.0,54.780205742745,piecewise,seeds-dataset,5
38,7.0,20.662125373965424,piecewise,seeds-dataset,5
39,9.0,9.518776883939214,piecewise,seeds-dataset,5
40,0.5,2797.3033460610463,piecewise,seeds-dataset,6
41,1.0,1293.3481266423885,piecewise,seeds-dataset,6
42,1.5,823.1062349431106,piecewise,seeds-dataset,6
43,2.0,642.8484747532592,piecewise,seeds-dataset,6
44,2.5,445.9714575000725,piecewise,seeds-dataset,6
45,3.0,371.08256823945976,piecewise,seeds-dataset,6
46,3.5,252.80539087186293,piecewise,seeds-dataset,6
47,5.0,123.81679336217636,piecewise,seeds-dataset,6
48,7.0,40.60735530131635,piecewise,seeds-dataset,6
49,9.0,11.214155235400286,piecewise,seeds-dataset,6
50,0.5,2786.960005567167,piecewise,seeds-dataset,7
51,1.0,1337.8549345393183,piecewise,seeds-dataset,7
52,1.5,896.6097911700432,piecewise,seeds-dataset,7
53,2.0,620.7486576267698,piecewise,seeds-dataset,7
54,2.5,443.0304517480582,piecewise,seeds-dataset,7
55,3.0,343.1588142800259,piecewise,seeds-dataset,7
56,3.5,284.5591499802453,piecewise,seeds-dataset,7
57,5.0,104.98195285054143,piecewise,seeds-dataset,7
58,7.0,40.47879147480025,piecewise,seeds-dataset,7
59,9.0,16.52133675811578,piecewise,seeds-dataset,7
