,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
0,0.5,0.03569300610015608,0.5177865612648221,0.03569300610015608,[0.         0.49433962 1.        ],[0.         0.45864662 1.        ],0,2
1,0.5,-0.017122996169669447,0.4896265560165975,-0.017122996169669447,[0.         0.44528302 1.        ],[0.         0.46240602 1.        ],1,2
2,0.5,0.0736274648886367,0.5326460481099656,0.0736274648886367,[0.         0.58490566 1.        ],[0.        0.5112782 1.       ],2,2
3,0.5,0.04326854873031638,0.5212355212355212,0.04326854873031638,[0.         0.50943396 1.        ],[0.         0.46616541 1.        ],3,2
4,0.5,0.02401759114768054,0.515,0.02401759114768054,[0.         0.38867925 1.        ],[0.         0.36466165 1.        ],4,2
5,0.5,-0.005802241452688317,0.4959016393442623,-0.005802241452688317,[0.         0.45660377 1.        ],[0.         0.46240602 1.        ],5,2
6,0.5,0.005405021988934611,0.5021645021645021,0.005405021988934611,[0.         0.43773585 1.        ],[0.         0.43233083 1.        ],6,2
7,0.5,-0.0022272662789047937,0.4976958525345622,-0.0022272662789047937,[0.         0.40754717 1.        ],[0.         0.40977444 1.        ],7,2
8,0.5,0.058164278621081034,0.5319148936170213,0.058164278621081034,[0.         0.47169811 1.        ],[0.         0.41353383 1.        ],8,2
9,0.5,0.013079869485033369,0.5059760956175299,0.013079869485033369,[0.         0.47924528 1.        ],[0.         0.46616541 1.        ],9,2
10,1.0,0.14873031635693007,0.5752895752895753,0.14873031635693007,[0.         0.56226415 1.        ],[0.         0.41353383 1.        ],0,2
11,1.0,0.028273513973613273,0.5130111524163569,0.028273513973613273,[0.         0.52075472 1.        ],[0.        0.4924812 1.       ],1,2
12,1.0,0.05082990495105688,0.5247148288973384,0.05082990495105688,[0.         0.52075472 1.        ],[0.         0.46992481 1.        ],2,2
13,1.0,0.05071641367569868,0.5263157894736842,0.05071641367569868,[0.         0.49056604 1.        ],[0.         0.43984962 1.        ],3,2
14,1.0,0.002113775003546592,0.5,0.002113775003546592,[0.         0.56226415 1.        ],[0.         0.56015038 1.        ],4,2
15,1.0,0.08487728755851892,0.5387323943661971,0.08487728755851892,[0.         0.57735849 1.        ],[0.        0.4924812 1.       ],5,2
16,1.0,0.050900836998155785,0.5238095238095238,0.050900836998155785,[0.         0.53962264 1.        ],[0.        0.4887218 1.       ],6,2
17,1.0,0.09248120300751872,0.5408163265306123,0.09248120300751872,[0.  0.6 1. ],[0.        0.5075188 1.       ],7,2
18,1.0,0.12230103560788763,0.564,0.12230103560788763,[0.         0.53207547 1.        ],[0.         0.40977444 1.        ],8,2
19,1.0,0.0887501773301177,0.5384615384615384,0.0887501773301177,[0.         0.60754717 1.        ],[0.         0.51879699 1.        ],9,2
20,1.5,0.05470279472265571,0.5251798561151079,0.05470279472265571,[0.        0.5509434 1.       ],[0.        0.4962406 1.       ],0,2
21,1.5,-0.04708469286423611,0.47547169811320755,-0.04708469286423611,[0.        0.4754717 1.       ],[0.         0.52255639 1.        ],1,2
22,1.5,0.05815009221166123,0.5321888412017167,0.05815009221166123,[0.         0.46792453 1.        ],[0.         0.40977444 1.        ],2,2
23,1.5,0.09982976308696268,0.5485074626865671,0.09982976308696268,[0.         0.55471698 1.        ],[0.         0.45488722 1.        ],3,2
24,1.5,0.06200879557384026,0.532520325203252,0.06200879557384026,[0.         0.49433962 1.        ],[0.         0.43233083 1.        ],4,2
25,1.5,0.08083416087388284,0.5428571428571428,0.08083416087388284,[0.         0.50188679 1.        ],[0.         0.42105263 1.        ],5,2
