,epsilon,shokri_mi_adv,run
0,0.05,-0.06399999999999997,0
1,0.05,0.012,1
2,0.05,0.028,2
3,0.05,0.056,3
4,0.05,0.02,4
5,0.05,0.0,5
6,0.05,0.068,6
7,0.05,0.016,7
8,0.05,0.032,8
9,0.05,0.024,9
10,0.1,0.008,0
11,0.1,0.044,1
12,0.1,0.044,2
13,0.1,0.024,3
14,0.1,0.1,4
15,0.1,0.011999999999999997,5
16,0.1,0.084,6
17,0.1,0.016,7
18,0.1,0.004,8
19,0.1,0.032,9
20,0.5,0.08000000000000002,0
21,0.5,0.088,1
22,0.5,0.039999999999999994,2
23,0.5,0.02400000000000002,3
24,0.5,0.07600000000000001,4
25,0.5,0.00799999999999998,5
26,0.5,-0.004,6
27,0.5,0.07200000000000001,7
28,0.5,0.004,8
29,0.5,0.016,9
30,1.0,-0.011999999999999955,0
31,1.0,0.04400000000000001,1
32,1.0,0.08800000000000002,2
33,1.0,0.04799999999999999,3
34,1.0,0.06,4
35,1.0,0.0040000000000000036,5
36,1.0,0.05200000000000002,6
37,1.0,-0.064,7
38,1.0,0.02799999999999997,8
39,1.0,0.068,9
40,2.0,0.0,0
41,2.0,0.06000000000000005,1
42,2.0,0.04799999999999999,2
43,2.0,0.128,3
44,2.0,0.124,4
45,2.0,0.040000000000000036,5
46,2.0,0.08399999999999996,6
47,2.0,0.10000000000000003,7
48,2.0,0.136,8
49,2.0,0.008000000000000007,9
50,3.0,0.06000000000000005,0
51,3.0,0.14,1
52,3.0,0.15200000000000002,2
53,3.0,0.16399999999999992,3
54,3.0,0.14,4
55,3.0,0.1519999999999999,5
56,3.0,0.08799999999999997,6
57,3.0,0.19999999999999996,7
58,3.0,0.0040000000000000036,8
59,3.0,0.18,9
60,4.0,0.128,0
61,4.0,0.132,1
62,4.0,0.09599999999999997,2
63,4.0,0.12,3
64,4.0,0.128,4
65,4.0,0.12,5
66,4.0,0.10399999999999998,6
67,4.0,0.1120000000000001,7
68,4.0,0.124,8
69,4.0,0.03600000000000003,9
70,5.0,0.16000000000000003,0
71,5.0,0.14400000000000002,1
72,5.0,0.08399999999999996,2
73,5.0,0.10799999999999993,3
74,5.0,0.1399999999999999,4
75,5.0,0.09999999999999998,5
76,5.0,0.14800000000000002,6
77,5.0,0.11599999999999999,7
78,5.0,0.1479999999999999,8
79,5.0,0.172,9
80,10.0,0.19199999999999995,0
81,10.0,0.11599999999999999,1
82,10.0,0.16000000000000003,2
83,10.0,0.20400000000000007,3
84,10.0,0.10399999999999998,4
85,10.0,0.136,5
86,10.0,0.10799999999999998,6
87,10.0,0.11199999999999999,7
88,10.0,0.136,8
89,10.0,0.1519999999999999,9
