,epsilon,shokri_mi_adv,run
0,0.1,0.088,0
1,0.1,0.08,1
2,0.1,0.008,2
3,0.1,0.224,3
4,0.1,0.056,4
5,0.1,0.048,5
6,0.1,0.27999999999999997,6
7,0.1,0.055999999999999994,7
8,0.1,0.05600000000000001,8
9,0.1,0.112,9
10,0.5,0.10400000000000001,0
11,0.5,0.064,1
12,0.5,0.04799999999999999,2
13,0.5,-0.032,3
14,0.5,0.064,4
15,0.5,0.016000000000000014,5
16,0.5,0.008000000000000007,6
17,0.5,0.112,7
18,0.5,0.04799999999999999,8
19,0.5,0.08,9
20,1.0,0.08799999999999997,0
21,1.0,0.03999999999999998,1
22,1.0,0.0,2
23,1.0,0.14400000000000007,3
24,1.0,0.03999999999999998,4
25,1.0,-0.064,5
26,1.0,-0.016000000000000014,6
27,1.0,0.0,7
28,1.0,0.04800000000000004,8
29,1.0,-0.09600000000000003,9
30,2.0,0.04799999999999993,0
31,2.0,0.040000000000000036,1
32,2.0,0.128,2
33,2.0,0.11199999999999999,3
34,2.0,0.0,4
35,2.0,0.10399999999999998,5
36,2.0,-0.016000000000000014,6
37,2.0,0.18399999999999994,7
38,2.0,0.07200000000000001,8
39,2.0,0.136,9
40,3.0,0.08000000000000007,0
41,3.0,0.16800000000000004,1
42,3.0,0.07999999999999996,2
43,3.0,0.11199999999999999,3
44,3.0,0.08000000000000007,4
45,3.0,-0.03199999999999992,5
46,3.0,0.19199999999999995,6
47,3.0,0.07999999999999996,7
48,3.0,0.10399999999999998,8
49,3.0,0.128,9
50,5.0,0.04800000000000004,0
51,5.0,0.192,1
52,5.0,0.16000000000000003,2
53,5.0,0.06400000000000006,3
54,5.0,0.16800000000000004,4
55,5.0,0.22400000000000003,5
56,5.0,0.11199999999999999,6
57,5.0,0.15200000000000002,7
58,5.0,0.07200000000000006,8
59,5.0,0.19200000000000006,9
60,7.0,0.09600000000000009,0
61,7.0,0.06399999999999995,1
62,7.0,0.248,2
63,7.0,0.23199999999999998,3
64,7.0,0.040000000000000036,4
65,7.0,0.19200000000000006,5
66,7.0,0.07200000000000006,6
67,7.0,0.20800000000000007,7
68,7.0,0.05599999999999994,8
69,7.0,0.16799999999999993,9
70,9.0,0.1519999999999999,0
71,9.0,0.136,1
72,9.0,0.12,2
73,9.0,0.14400000000000002,3
74,9.0,0.14400000000000002,4
75,9.0,0.15999999999999992,5
76,9.0,0.07999999999999996,6
77,9.0,0.08799999999999997,7
78,9.0,0.17599999999999993,8
79,9.0,0.07199999999999995,9
