,x1,x2,dimension,epsilon,mechanism,y
0,3.381141829900967,0.031042781854255352,2,0.5,kd-Laplace,
1,-0.037532967760767866,-0.2221400268202578,2,0.5,kd-Laplace,
2,6.020020418193272,-2.7221903597507264,2,0.5,kd-Laplace,
3,1.3521637251655898,1.4408224449515101,2,0.5,kd-Laplace,
4,-0.22580945163742072,-0.5652765936008453,2,0.5,kd-Laplace,
5,1.670044251638041,-4.605590574549918,2,0.5,kd-Laplace,
6,1.7959348313099512,-0.38819080489284785,2,0.5,kd-Laplace,
7,-3.1159879248584907,-3.015297189511248,2,0.5,kd-Laplace,
8,-3.2813059386389734,0.3747391643544684,2,0.5,kd-Laplace,
9,-0.3795167180268151,-4.186088339867912,2,0.5,kd-Laplace,
10,5.438526091364204,4.01908912081408,2,0.5,kd-Laplace,
11,10.164336875802013,-8.771534698091045,2,0.5,kd-Laplace,
12,1.303138394175748,1.985426784294692,2,0.5,kd-Laplace,
13,5.795304931047317,2.519121524036718,2,0.5,kd-Laplace,
14,-2.2592276984684183,1.715127985523012,2,0.5,kd-Laplace,
15,4.849946002966947,1.0238073870277247,2,0.5,kd-Laplace,
16,2.0470756990096572,-1.3287755759461193,2,0.5,kd-Laplace,
17,1.4154842619146273,6.233895694427373,2,0.5,kd-Laplace,
18,0.7693046191407833,-0.40793713047549823,2,0.5,kd-Laplace,
19,-1.5212231730215668,-2.199759166876013,2,0.5,kd-Laplace,
20,-0.4193886057702487,-2.480111977595552,2,0.5,kd-Laplace,
21,2.856796995494761,0.7674772634688054,2,0.5,kd-Laplace,
22,2.4315157264723366,-0.42831160769453863,2,0.5,kd-Laplace,
23,-1.1958609678012087,2.045381339685271,2,0.5,kd-Laplace,
24,-3.197004887357723,3.3126178742236725,2,0.5,kd-Laplace,
25,-0.9399494636145629,6.107944428787737,2,0.5,kd-Laplace,
26,2.7199944036951815,6.990692966657309,2,0.5,kd-Laplace,
27,3.890147775683165,0.1524461689929795,2,0.5,kd-Laplace,
28,1.6062906321384558,-2.336939818690704,2,0.5,kd-Laplace,
29,2.7077063167678457,-1.034133813300766,2,0.5,kd-Laplace,
30,0.9444893007401527,0.2804117472330143,2,0.5,kd-Laplace,
31,5.834973663416799,0.2689132596724098,2,0.5,kd-Laplace,
32,4.32366794978625,-0.7144384451174042,2,0.5,kd-Laplace,
33,7.069103308061841,3.2672407482826697,2,0.5,kd-Laplace,
34,-3.816925635899004,7.895015155572803,2,0.5,kd-Laplace,
35,-1.2641885912289808,-2.2148374061771894,2,0.5,kd-Laplace,
36,0.2597828781390732,2.6794283181074525,2,0.5,kd-Laplace,
37,1.4551121036164552,-3.2785355235788334,2,0.5,kd-Laplace,
38,-2.3830897417683796,-0.7122431855449385,2,0.5,kd-Laplace,
39,2.170064904951787,-2.2860276277426266,2,0.5,kd-Laplace,
40,3.5717737131101104,3.2746896043056974,2,0.5,kd-Laplace,
41,6.893441068304753,0.7222537141069201,2,0.5,kd-Laplace,
42,5.362506528138632,3.8527705707321136,2,0.5,kd-Laplace,
43,7.190076182440036,1.1939879562995457,2,0.5,kd-Laplace,
44,-0.9280053608592465,-6.550412504992097,2,0.5,kd-Laplace,
45,2.3596353319248076,2.083135570336786,2,0.5,kd-Laplace,
46,0.28233549420708814,-3.535758870402825,2,0.5,kd-Laplace,
