,type,dimensions,ari,ami,ch,sc
0,nd-laplace-truncated,2,0.8328285740784439,0.7891626933784273,1768.4107260357819,0.3711144518698123
1,nd-laplace-truncated,3,0.8098646295863728,0.7605576006505783,1527.5672238375805,0.41067717167782475
2,nd-laplace-truncated,4,0.7917844308843345,0.738122007413989,749.5024181439378,0.280495687633881
3,nd-laplace-truncated,5,0.7474964868086672,0.7156545558420804,613.7980276136774,0.2759407142236291
4,nd-laplace-truncated,6,0.7065365270378683,0.7110251851209879,566.5037303017414,0.2569910612483502
5,nd-laplace-truncated,7,0.7042577386444097,0.7042634527946772,602.5535453148793,0.2453801069576848
6,nd-laplace-truncated,8,0.6834790342467855,0.7023091643673015,531.8191455002222,0.21628667167423252
7,nd-laplace-truncated,9,0.7168386929749327,0.7418642681064666,545.2087565595442,0.20602712412111002
8,nd-laplace,2,0.8345506218160746,0.7889458938477264,1726.3746912451825,0.3669306499665669
9,nd-laplace,3,0.8247888797924112,0.7732501101774922,1518.0412390925999,0.41109537418926106
10,nd-laplace,4,0.8082685883964299,0.7458793618944535,790.5771174652425,0.28204405297779434
11,nd-laplace,5,0.6645384611616159,0.6642298962714671,588.6255186573028,0.26727275350005686
12,nd-laplace,6,0.7678573208996343,0.7473236372363428,534.5052891695474,0.24027954052821948
13,nd-laplace,7,0.691944627068882,0.7052631453613264,596.558915851118,0.2440895771596808
14,nd-laplace,8,0.6009695351120642,0.626220977026298,552.1579968593882,0.21981374779523274
15,nd-laplace,9,0.6418334880573604,0.6798431135126403,545.3421487985963,0.20409965869075314
16,nd-piecewise,2,0.17811986710869215,0.16512535870453565,1784.2145000450353,0.3599673397205675
17,nd-piecewise,3,0.17823694358166167,0.12006135991973077,1352.3119965906967,0.3704604297098598
18,nd-piecewise,4,0.048141188729839975,0.02759497300463809,735.6915433785117,0.34840315190918775
19,nd-piecewise,5,0.07440537732564666,0.0370439256915314,500.4575163739378,0.2858392820286585
20,nd-piecewise,6,0.1291323274775298,0.0920331661776951,387.7872742886737,0.1950895245494044
21,nd-piecewise,7,0.1911125475167779,0.1475154342752636,354.01285584316446,0.19022745763467724
22,nd-piecewise,8,0.152682957379681,0.12341181900665729,294.5432489284914,0.16506322050609012
23,nd-piecewise,9,0.1807772374939666,0.14622298434798195,262.4559837953226,0.15215353489398425
