,type,dimensions,ari,ami,ch,sc
0,nd-laplace-truncated,2,0.8295458396922267,0.7851944792663225,1768.4105108638037,0.37109569592130287
1,nd-laplace-truncated,3,0.7899348204529245,0.7511839926607446,1527.55749844438,0.4106677266864578
2,nd-laplace-truncated,4,0.7635474061123038,0.7150772211749551,723.197872012578,0.27792064103371605
3,nd-laplace-truncated,5,0.5574093237275196,0.580764702036046,600.7594325423706,0.26341255669261565
4,nd-laplace-truncated,6,0.7436879755620553,0.737548178329193,546.2205488442256,0.24612540396912852
5,nd-laplace-truncated,7,0.8003055815997898,0.7930896084055086,588.4285379659733,0.2406260461484111
6,nd-laplace-truncated,8,0.6922276143484924,0.709354142500502,538.8365737035742,0.2216368057281184
7,nd-laplace-truncated,9,0.719323507013842,0.742252509656961,539.4429729463855,0.198235693806651
8,nd-laplace,2,0.8365738915499144,0.7905917351078948,1726.3778786515472,0.3669691309778277
9,nd-laplace,3,0.8497128957754123,0.7949849598034813,1517.7569316430122,0.4112217624293148
10,nd-laplace,4,0.7948807666373165,0.7327322383415862,764.8555576727797,0.2796734228497034
11,nd-laplace,5,0.6916089132442359,0.6844269208130856,599.8762372249905,0.2645578127295378
12,nd-laplace,6,0.6980701675809777,0.7002929480532152,534.4896444558763,0.24002448752125538
13,nd-laplace,7,0.6803648404493844,0.6964046989581211,583.927613498188,0.23429891812684578
14,nd-laplace,8,0.6936884193072642,0.7061163449747124,538.4881033931478,0.2175372937278001
15,nd-laplace,9,0.6278630253182114,0.6704224030817284,541.0990957851353,0.21001132204249565
16,nd-piecewise,2,0.17825069087785825,0.16533749499304773,1784.2337385555415,0.36003307349184477
17,nd-piecewise,3,0.17582933877490153,0.11832809641390007,1352.3119965906967,0.3704604297098598
18,nd-piecewise,4,0.04576532056009681,0.02617828304896925,735.6299287891559,0.34802696427645224
19,nd-piecewise,5,0.0819201810937801,0.03832495231469863,500.45486666567984,0.28556771121380076
20,nd-piecewise,6,0.12547682169097035,0.09047399152297433,386.15365407571466,0.19455813364507976
21,nd-piecewise,7,0.18274063078436714,0.14668584315425892,353.8424831076967,0.19060137696626903
22,nd-piecewise,8,0.14780261363368227,0.119550607280446,294.18555721496244,0.16445421779851793
23,nd-piecewise,9,0.17955729426512562,0.14561406992662757,262.415420039193,0.15225337744179981
